,Rating,Rating Date
0,5.0,8 months ago
1,1.0,a year ago
2,5.0,a year ago
3,5.0,a year ago
4,5.0,a year ago
5,3.0,2 years ago
6,2.0,2 years ago
7,2.0,2 years ago
8,5.0,2 years ago
9,5.0,2 years ago
10,1.0,2 years ago
11,2.0,2 years ago
12,2.0,2 years ago
13,2.0,3 years ago
14,5.0,3 years ago
15,1.0,3 years ago
16,3.0,3 years ago
17,3.0,3 years ago
18,2.0,3 years ago
19,4.0,3 years ago
20,5.0,4 years ago
21,2.0,4 years ago
22,5.0,4 years ago
23,5.0,4 years ago
24,2.0,4 years ago
25,5.0,4 years ago
26,2.0,5 years ago
27,4.0,5 years ago
28,1.0,5 years ago
29,1.0,5 years ago
30,3.0,5 years ago
31,4.0,6 years ago
32,3.0,6 years ago
33,3.0,6 years ago
34,5.0,6 years ago
35,2.0,6 years ago
36,4.0,6 years ago
37,3.0,7 years ago
38,1.0,7 years ago
39,5.0,7 years ago
40,1.0,7 years ago
41,4.0,7 years ago
42,5.0,7 years ago
43,3.0,7 years ago
44,2.0,8 years ago
45,3.0,8 years ago
46,5.0,8 years ago
47,1.0,7 years ago
48,4.0,7 years ago
49,5.0,7 years ago
