,Rating,Location,Rating_Submit_Dt
0,1,Mn,5 days ago
1,5,"Ukiah, CA",5 days ago
2,4,"Windermere, FL",5 days ago
3,5,"Tampa, FL",6 days ago
4,2,east coast,8 days ago
5,5,"Clinton Twp, MI",12 days ago
6,5,"Saint Peters, MO",13 days ago
7,5,Michigan,14 days ago
8,1,Columbus,15 days ago
9,5,New Jersey,16 days ago
10,1,Mn,5 days ago
11,5,"Ukiah, CA",5 days ago
12,4,"Windermere, FL",5 days ago
13,5,"Tampa, FL",6 days ago
14,2,east coast,8 days ago
15,5,"Clinton Twp, MI",12 days ago
16,5,"Saint Peters, MO",13 days ago
17,5,Michigan,14 days ago
18,1,Columbus,15 days ago
19,5,New Jersey,16 days ago
20,5,"Queens Vlg, NY",1 month ago
21,3,"Wichita , KS",1 month ago
22,5,"New Prague, MN",1 month ago
23,1,"Marietta, GA",1 month ago
24,5,"Herkimer, NY",1 month ago
25,5,"Dallas, Tx",1 month ago
26,4,"Orlando, FL",1 month ago
27,2,"Los Angeles, CA",1 month ago
28,5,Dekalb,1 month ago
29,5,"Cleveland, OH",1 month ago
30,3,"Highland Mls, NY",1 month ago
31,5,Utah,1 month ago
32,5,Eastvale,1 month ago
33,5,Miami,1 month ago
34,5,"Albany, NY",1 month ago
35,3,St. Paul,1 month ago
36,1,USA,2 months ago
37,4,glastonbury,2 months ago
38,5,"Colbert, GA",2 months ago
39,5,"Merrimac, MA",2 months ago
40,5,"Evans, GA",2 months ago
41,5,"Eastvale,CA",2 months ago
42,5,"Lancaster, CA",2 months ago
43,5,Richfield,2 months ago
44,4,"Naples, FL",2 months ago
45,5,Los Angeles,2 months ago
46,1,"Westport, CT",2 months ago
47,3,Ohio,2 months ago
48,5,"West Bend, WI",2 months ago
49,5,"Brooklyn, NY",2 months ago
50,5,"Lansing, MI",2 months ago
51,5,"Denver, CO",2 months ago
52,5,"Seattle, WA",2 months ago
53,2,Oregon,2 months ago
54,3,capecoral,2 months ago
55,5,"Topeka, KS",2 months ago
56,5,"Pensacola, FL",2 months ago
57,5,NewYork,2 months ago
58,1,USA,2 months ago
59,5,"Austin, TX",2 months ago
60,5,Michigan,2 months ago
61,5,virginia,2 months ago
62,3,"Rincon, GA",2 months ago
63,5,"Austin, TX",2 months ago
64,4,United States,2 months ago
65,4,"Orlando, FL",2 months ago
66,3,"Mt Pleasant, SC",2 months ago
67,2,"Myrtle Beach, SC",2 months ago
68,5,United States,2 months ago
69,5,Fort Myers Florida,2 months ago
70,5,Michigan,2 months ago
71,5,virginia,2 months ago
72,3,"Rincon, GA",2 months ago
73,5,"Austin, TX",2 months ago
74,4,United States,2 months ago
75,4,"Orlando, FL",2 months ago
76,3,"Mt Pleasant, SC",2 months ago
77,2,"Myrtle Beach, SC",2 months ago
78,5,United States,2 months ago
79,5,Fort Myers Florida,2 months ago
80,5,"Corning, NY",3 months ago
81,5,"San Rafael, CA",3 months ago
82,5,"Melrose, MA",3 months ago
83,5,"Easton, PA",3 months ago
84,5,"Opa Locka, FL",3 months ago
85,5,"Felton, CA",3 months ago
86,2,Minneapolis,3 months ago
87,1,Las Vegas,3 months ago
88,4,"Carmel, NY",3 months ago
89,5,Elverta,3 months ago
90,5,"Hartland, MI",3 months ago
91,5,"Washington, DC",3 months ago
92,1,"Livonia, Mi",3 months ago
93,5,Florida,3 months ago
94,5,Maryland,3 months ago
95,1,"Grand Rapids, MI",3 months ago
96,5,New York,3 months ago
97,5,United States,3 months ago
98,5,"Richmond Hill, ON",3 months ago
99,5,Virginia,3 months ago
100,5,"Lewiston, ME",3 months ago
