,Review_ID,Rating_Submit_Dt,Bigrams
0,R1,2022-05-26T12:58:00.430Z,im really
0,R1,2022-05-26T12:58:00.430Z,really confused
0,R1,2022-05-26T12:58:00.430Z,confused left
0,R1,2022-05-26T12:58:00.430Z,left least
0,R1,2022-05-26T12:58:00.430Z,least min
0,R1,2022-05-26T12:58:00.430Z,min shower
0,R1,2022-05-26T12:58:00.430Z,shower cap
0,R1,2022-05-26T12:58:00.430Z,cap towel
0,R1,2022-05-26T12:58:00.430Z,towel extra
0,R1,2022-05-26T12:58:00.430Z,extra heat
0,R1,2022-05-26T12:58:00.430Z,heat rinsed
0,R1,2022-05-26T12:58:00.430Z,rinsed surprised
0,R1,2022-05-26T12:58:00.430Z,surprised dry
0,R1,2022-05-26T12:58:00.430Z,dry stiff
0,R1,2022-05-26T12:58:00.430Z,stiff hair
0,R1,2022-05-26T12:58:00.430Z,hair felt
0,R1,2022-05-26T12:58:00.430Z,felt feel
0,R1,2022-05-26T12:58:00.430Z,feel moisturized
0,R1,2022-05-26T12:58:00.430Z,moisturized blow
0,R1,2022-05-26T12:58:00.430Z,blow dried
0,R1,2022-05-26T12:58:00.430Z,dried low
0,R1,2022-05-26T12:58:00.430Z,low setting
0,R1,2022-05-26T12:58:00.430Z,setting normally
0,R1,2022-05-26T12:58:00.430Z,normally applying
0,R1,2022-05-26T12:58:00.430Z,applying serum
0,R1,2022-05-26T12:58:00.430Z,serum smoother
0,R1,2022-05-26T12:58:00.430Z,smoother hair
0,R1,2022-05-26T12:58:00.430Z,hair puffy
0,R1,2022-05-26T12:58:00.430Z,puffy frizzy
0,R1,2022-05-26T12:58:00.430Z,frizzy decided
0,R1,2022-05-26T12:58:00.430Z,decided flat
0,R1,2022-05-26T12:58:00.430Z,flat iron
0,R1,2022-05-26T12:58:00.430Z,iron ended
0,R1,2022-05-26T12:58:00.430Z,ended passing
0,R1,2022-05-26T12:58:00.430Z,passing whole
0,R1,2022-05-26T12:58:00.430Z,whole head
0,R1,2022-05-26T12:58:00.430Z,head twice
0,R1,2022-05-26T12:58:00.430Z,twice pretty
0,R1,2022-05-26T12:58:00.430Z,pretty frizz
0,R1,2022-05-26T12:58:00.430Z,frizz free
0,R1,2022-05-26T12:58:00.430Z,free following
0,R1,2022-05-26T12:58:00.430Z,following oils
0,R1,2022-05-26T12:58:00.430Z,oils im
0,R1,2022-05-26T12:58:00.430Z,im sure
0,R1,2022-05-26T12:58:00.430Z,sure one
0,R1,2022-05-26T12:58:00.430Z,one expect
0,R1,2022-05-26T12:58:00.430Z,expect product
0,R1,2022-05-26T12:58:00.430Z,product typically
0,R1,2022-05-26T12:58:00.430Z,typically use
0,R1,2022-05-26T12:58:00.430Z,use strength
0,R1,2022-05-26T12:58:00.430Z,strength repair
0,R1,2022-05-26T12:58:00.430Z,repair mask
0,R1,2022-05-26T12:58:00.430Z,mask shea
0,R1,2022-05-26T12:58:00.430Z,shea moisture
0,R1,2022-05-26T12:58:00.430Z,moisture leaves
0,R1,2022-05-26T12:58:00.430Z,leaves soft
0,R1,2022-05-26T12:58:00.430Z,soft hydrated
0,R1,2022-05-26T12:58:00.430Z,hydrated impressed
0,R1,2022-05-26T12:58:00.430Z,impressed overall
0,R1,2022-05-26T12:58:00.430Z,overall missing
0,R1,2022-05-26T12:58:00.430Z,missing something
1,R2,2022-05-26T12:58:00.430Z,makes hair
1,R2,2022-05-26T12:58:00.430Z,hair feel
1,R2,2022-05-26T12:58:00.430Z,feel soft
1,R2,2022-05-26T12:58:00.430Z,soft love
2,R3,2022-05-26T12:58:00.430Z,dont see
2,R3,2022-05-26T12:58:00.430Z,see much
2,R3,2022-05-26T12:58:00.430Z,much difference
2,R3,2022-05-26T12:58:00.430Z,difference using
2,R3,2022-05-26T12:58:00.430Z,using product
2,R3,2022-05-26T12:58:00.430Z,product curls
2,R3,2022-05-26T12:58:00.430Z,curls used
2,R3,2022-05-26T12:58:00.430Z,used directed
2,R3,2022-05-26T12:58:00.430Z,directed texture
2,R3,2022-05-26T12:58:00.430Z,texture smell
2,R3,2022-05-26T12:58:00.430Z,smell mask
2,R3,2022-05-26T12:58:00.430Z,mask isnt
2,R3,2022-05-26T12:58:00.430Z,isnt anything
2,R3,2022-05-26T12:58:00.430Z,anything special
2,R3,2022-05-26T12:58:00.430Z,special feel
2,R3,2022-05-26T12:58:00.430Z,feel indulgent
2,R3,2022-05-26T12:58:00.430Z,indulgent like
2,R3,2022-05-26T12:58:00.430Z,like would
2,R3,2022-05-26T12:58:00.430Z,would expect
2,R3,2022-05-26T12:58:00.430Z,expect something
2,R3,2022-05-26T12:58:00.430Z,something price
