,Review_ID,Rating,Location,Rating_Submit_Dt,Username,Review,Positive,Negative,Neutral,Compound
0,R1,1,USA,2022-05-26T12:58:00.430Z, Angel,"I'm really confused. I left this on at least 10 min with a shower cap and towel on for extra heat. When I rinsed it I was surprised how dry and stiff my hair felt. I did not feel it moisturized at all. I blow dried on low setting as I normally do after applying serum and smoother but my hair was so puffy and frizzy. I decided to flat iron and ended up passing through my whole head twice. It's pretty frizz free now after following up with oils, so I'm not sure if this is what one can expect from this product? I typically use Strength and Repair Mask from Shea Moisture which leaves it soft and more hydrated. So not impressed overall or am I missing something?!",0.109,0.092,0.799,0.6617
1,R2,5,Northern VA,2022-05-26T12:58:00.430Z, SJ,Makes my hair feel so soft. I love it,0.39,0.0,0.61,0.6682
2,R3,2,"Calabasas, CA",2022-05-26T12:58:00.430Z, Kzoo girl,"I don't see much difference after using this product on my 3A/B curls.  I used as directed.  The texture and smell of the mask isn't anything special.  It does not feel indulgent like I would expect from something at this price point.  Ten minutes is also a long time to stand around waiting in the shower for this to ""work"".  I like Manuka honey and yogurt hair mask by Shea Moisture much better.  It's cheaper, smells better and works within only a few minutes.  I regret this purchase.  More expensive does not mean better.",0.089,0.095,0.817,0.1083
3,R4,1,Los Angeles,2022-05-26T12:58:00.430Z, Lilian,"This is such a horrible product. It didn't condition at all, made my hair so tangled and feel like straw. Save your money. I'll be returning this ASAP. I don't see how anyone can like this product. I thought it would live up to the hype and reviews but after trying this I'm pretty sure they delete bad reviews or make sure only a few bad reviews get published.",0.189,0.141,0.67,0.2617
4,R5,5,New York,2022-05-26T12:58:00.430Z, Olivia,It's amazing I am genuinely obsessed! Everyone needs this it is so good! Trust me on this one!,0.449,0.064,0.487,0.9061
5,R6,5,SC,2022-05-26T12:58:00.430Z, Chelsea,"Leaves hair soft and shiny with minimal frizz, waited a while to try this and I'm glad I finally did!!! If you're debating, just buy it!",0.153,0.0,0.847,0.6331
6,R7,5,San Luis Obispo,2022-05-26T12:58:00.430Z, dominiquem1,"I really love all the products from this line, but especially this one. I have wavy, thick, frizzy, coarse hair that often times I struggle to make feel soft and can become really damaged with all the heat I use on it. I was skeptical about the hype but I get it now. My hair feel overall so much healthy and shinny. I use about once a week and follow up w/the condition from the same line.",0.083,0.126,0.791,-0.5386
7,R8,3,Ny,2022-05-26T12:58:00.430Z, Jilly,Didnt really give my hair the slip i expect with a good deep conditioner my hair felt softer after use but didnt make a big difference,0.081,0.0,0.919,0.2382
8,R9,5,Kentucky,2022-05-26T12:58:00.430Z, LeaLove1211,I heard about this mask from several of my favorite curly girl bloggers so I had to try it. It did not disappoint! The trail size lasted 2 wash days for me and I had to get the full size! (2C/3A transitioning hair). It smells great and left my hair shiny and moisturized.,0.178,0.0,0.822,0.8733
9,R10,1,"Norfolk, VA",2022-05-26T12:58:00.430Z, Don't buy this!,Literally dried my hair out!!! My hair was so tangled and crispy! Just plain God awful!!!,0.104,0.206,0.691,-0.471
10,R11,1,Florida,2022-05-14T22:28:38.604Z, Abat,Didn't condition hair while in shower let alone afterwards.,0.0,0.2,0.8,-0.25
