,Review_ID,Rating_Submit_Dt,Trigrams
0,R1,2022-05-26T12:58:00.430Z,im really confused
0,R1,2022-05-26T12:58:00.430Z,really confused left
0,R1,2022-05-26T12:58:00.430Z,confused left least
0,R1,2022-05-26T12:58:00.430Z,left least min
0,R1,2022-05-26T12:58:00.430Z,least min shower
0,R1,2022-05-26T12:58:00.430Z,min shower cap
0,R1,2022-05-26T12:58:00.430Z,shower cap towel
0,R1,2022-05-26T12:58:00.430Z,cap towel extra
0,R1,2022-05-26T12:58:00.430Z,towel extra heat
0,R1,2022-05-26T12:58:00.430Z,extra heat rinsed
0,R1,2022-05-26T12:58:00.430Z,heat rinsed surprised
0,R1,2022-05-26T12:58:00.430Z,rinsed surprised dry
0,R1,2022-05-26T12:58:00.430Z,surprised dry stiff
0,R1,2022-05-26T12:58:00.430Z,dry stiff hair
0,R1,2022-05-26T12:58:00.430Z,stiff hair felt
0,R1,2022-05-26T12:58:00.430Z,hair felt feel
0,R1,2022-05-26T12:58:00.430Z,felt feel moisturized
0,R1,2022-05-26T12:58:00.430Z,feel moisturized blow
0,R1,2022-05-26T12:58:00.430Z,moisturized blow dried
0,R1,2022-05-26T12:58:00.430Z,blow dried low
0,R1,2022-05-26T12:58:00.430Z,dried low setting
0,R1,2022-05-26T12:58:00.430Z,low setting normally
0,R1,2022-05-26T12:58:00.430Z,setting normally applying
0,R1,2022-05-26T12:58:00.430Z,normally applying serum
0,R1,2022-05-26T12:58:00.430Z,applying serum smoother
0,R1,2022-05-26T12:58:00.430Z,serum smoother hair
0,R1,2022-05-26T12:58:00.430Z,smoother hair puffy
0,R1,2022-05-26T12:58:00.430Z,hair puffy frizzy
0,R1,2022-05-26T12:58:00.430Z,puffy frizzy decided
0,R1,2022-05-26T12:58:00.430Z,frizzy decided flat
0,R1,2022-05-26T12:58:00.430Z,decided flat iron
0,R1,2022-05-26T12:58:00.430Z,flat iron ended
0,R1,2022-05-26T12:58:00.430Z,iron ended passing
0,R1,2022-05-26T12:58:00.430Z,ended passing whole
0,R1,2022-05-26T12:58:00.430Z,passing whole head
0,R1,2022-05-26T12:58:00.430Z,whole head twice
0,R1,2022-05-26T12:58:00.430Z,head twice pretty
0,R1,2022-05-26T12:58:00.430Z,twice pretty frizz
0,R1,2022-05-26T12:58:00.430Z,pretty frizz free
0,R1,2022-05-26T12:58:00.430Z,frizz free following
0,R1,2022-05-26T12:58:00.430Z,free following oils
0,R1,2022-05-26T12:58:00.430Z,following oils im
0,R1,2022-05-26T12:58:00.430Z,oils im sure
0,R1,2022-05-26T12:58:00.430Z,im sure one
0,R1,2022-05-26T12:58:00.430Z,sure one expect
0,R1,2022-05-26T12:58:00.430Z,one expect product
0,R1,2022-05-26T12:58:00.430Z,expect product typically
0,R1,2022-05-26T12:58:00.430Z,product typically use
0,R1,2022-05-26T12:58:00.430Z,typically use strength
0,R1,2022-05-26T12:58:00.430Z,use strength repair
0,R1,2022-05-26T12:58:00.430Z,strength repair mask
0,R1,2022-05-26T12:58:00.430Z,repair mask shea
0,R1,2022-05-26T12:58:00.430Z,mask shea moisture
0,R1,2022-05-26T12:58:00.430Z,shea moisture leaves
0,R1,2022-05-26T12:58:00.430Z,moisture leaves soft
0,R1,2022-05-26T12:58:00.430Z,leaves soft hydrated
0,R1,2022-05-26T12:58:00.430Z,soft hydrated impressed
0,R1,2022-05-26T12:58:00.430Z,hydrated impressed overall
0,R1,2022-05-26T12:58:00.430Z,impressed overall missing
0,R1,2022-05-26T12:58:00.430Z,overall missing something
1,R2,2022-05-26T12:58:00.430Z,makes hair feel
1,R2,2022-05-26T12:58:00.430Z,hair feel soft
1,R2,2022-05-26T12:58:00.430Z,feel soft love
2,R3,2022-05-26T12:58:00.430Z,dont see much
2,R3,2022-05-26T12:58:00.430Z,see much difference
2,R3,2022-05-26T12:58:00.430Z,much difference using
2,R3,2022-05-26T12:58:00.430Z,difference using product
2,R3,2022-05-26T12:58:00.430Z,using product curls
2,R3,2022-05-26T12:58:00.430Z,product curls used
2,R3,2022-05-26T12:58:00.430Z,curls used directed
2,R3,2022-05-26T12:58:00.430Z,used directed texture
2,R3,2022-05-26T12:58:00.430Z,directed texture smell
2,R3,2022-05-26T12:58:00.430Z,texture smell mask
2,R3,2022-05-26T12:58:00.430Z,smell mask isnt
2,R3,2022-05-26T12:58:00.430Z,mask isnt anything
2,R3,2022-05-26T12:58:00.430Z,isnt anything special
2,R3,2022-05-26T12:58:00.430Z,anything special feel
